Name,Category,State,City
"170032-JAMNER TALUKA EDUCATION SOCIETY'S GITABAI DATTATRAY MAHAJAN ARTS, SHRI KESHRIMAL RAJMAL NAVLAKHA COMMERCE AND MANOHARSHETH DHARIWAL SCIENCE COLLEGE, JAMNER TAL-JAMNER DIST-JALGAON",College,Maharashtra,Jalgaon
"170033-APPASAHEB RAGUNATHRAO BHAURAO GARUD ARTS, COMMERCE & SCIENCE COLLEGE SHENDURNI TAL-JAMNER DIST-JALGAON",College,Maharashtra,Jalgaon
"170034-PT CO-OP ES'S ARTS,SCIENCE & COMMERCE COLLEGE, PACHORA.",College,Maharashtra,Jalgaon
"170096-SHREE SURESHDADA JAIN INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH, JAMNER",College,Maharashtra,Jalgaon
"170111-PDUSPM'S INSTITUTE OF MANAGEMENT & RESEARCH, JAMNER",College,Maharashtra,Jalgaon
"180035-VIDYA BHARATI SHAIKSHANIK MANDALACHE AMARAVATI SANCHLIT SANT MUKTABAI ARTS AND COMMERCE COLLEGE, MUKTAINAGAR.",College,Maharashtra,Jalgaon
"180036-MUKTAINAGR TALUKA EDUCATION SOCIETY'S,SHRIMATI GODAVARIBAI GANPATRAO KHADSE COLLEGE, MUKTAINAGAR",College,Maharashtra,Jalgaon
"180037-RPSPM'S SHRI VITTHALRAO SHANKARRAO NAIK ARTS,COMMERCE & SCIENCE COLLEGE, RAVER.",College,Maharashtra,Jalgaon
"180038-JANTA SHIKSHAN MANDAL'S SANE GURUJI VIDYA PRABODHINI COMPREHENSIVE COLLEGE OF EDUCATION, KHIRODA TAL-RAVER DIST-JALGAON",College,Maharashtra,Jalgaon
"180049-APSPM'S SARDAR VALLABHBHAI PATEL ARTS & SCIENCE COLLEGE, AINPUR.",College,Maharashtra,Jalgaon
"190040-KVPS'S KISAN ARTS,COMMERCE & SCIENCE COLLEGE, PAROLA.",College,Maharashtra,Jalgaon
"190041-PTSS'S SAU. RAJNITAI N.DESHMUKH ARTS,COMMERCE & SCIENCE COLLEGE, BHADGAON.",College,Maharashtra,Jalgaon
"190042-SSPM'S RANI LAXMIBAI MAHAVIDYALAYA, PAROLA, Tal-Parola, Dist - Jalgaon",College,Maharashtra,Jalgaon
"190097-SSPM'S COLLEGE OF EDUCATION, TEHU, TAL.PAROLA",College,Maharashtra,Jalgaon
"200001-JAI HIND ET'S ZULAL BHILAJIRAO PATIL COLLEGE, DHULE.",College,Maharashtra,Dhule
"200002-SSVPS'S LATE KARMAVEER DR.P.R. GHOGREY SCIENCE COLLEGE, DHULE.",College,Maharashtra,Dhule
"200003-SSVPS'S BHAUSAHEB N.S.PATIL ARTS & M.F.M.A. COMMERCE COLLEGE, DHULE.",College,Maharashtra,Dhule
"200004-SSVPS'S BAPUSAHEB SHIVAJIRAO DEORE COLLEGE OF ENGINEERING, DHULE.",College,Maharashtra,Dhule
"200006-DES'S M.D.PALESHA COMMERCE COLLEGE, DHULE.",College,Maharashtra,Dhule
"200007-WKDSPM'S DR.BABASAHEB AMBEDKAR MEMORIAL COLLEGE OF LAW, DHULE",College,Maharashtra,Dhule
"200008-DES'S COLLEGE OF EDUCATION, DHULE.",College,Maharashtra,Dhule
"200009-ABHAY YUWA KALYAN KENDRA'S ARTS MAHILA MAHAVIDYALAYA, DHULE.",College,Maharashtra,Dhule
"200013-ABHAY YUVA KALYAN KENDRA'S COLLEGE OF EDUCATION, DHULE TAL-DHULE DIST-DHULE.",College,Maharashtra,Dhule
"200018-Social and Cultural Association's Smt. Narmadabai Nago Chaudhari Arts, Commerce and Science College Kusumba, Tal. & Dist- Dhule.",College,Maharashtra,Dhule
"200019-NES'S GANGAMAI COLLEGE OF EDUCATION, NAGAON, TAL.& DIST-DHULE.",College,Maharashtra,Dhule
"200022-K.S.WANI ADVANCED STUDY CENTRE IN MARATHI, DHULE.",College,Maharashtra,Dhule
"200025-NES'S GANGAMAI COLLEGE OF ENGINEERING, NAGAON, TAL.& DIST-DHULE.",College,Maharashtra,Dhule
"200057-GRAM VIKAS MANDAL'S KRANTIVEER NAVALBHAU ARTS COLLEGE, NAVALNAGAR-424318, TAL.& DIST-DHULE.",College,Maharashtra,Dhule
"200058-GANGAMAI EDUCATION TRUST'S ARTS, COMMERCE AND SCIENCE COLLEGE, NAGAON, TAL.& DIST-DHULE.",College,Maharashtra,Dhule
"200064-A.R.A. COLLEGE OF PHARMACY, DHULE.",College,Maharashtra,Dhule
"200070-SSS'S DR.B.R.AMBEDKAR COLLEGE OF SOCIAL WORK, MORANE, TAL.&DIST-DHULE.",College,Maharashtra,Dhule
