Name,Category,State,City,Rating
A One Hotel & Restaurant,Restaurant,West Bengal,Kolkata,3.7
A One Muradabadi Chicken Biryani Corner,Restaurant,Bihar,Patna,3.8
A One Parsi Food,Restaurant,Gujarat,Surat,4
A Piece Of Cake,Restaurant,Maharashtra,Pune,3.8
A Pinch Of Salt,Restaurant,Madhya Pradesh,Indore,3.6
A Pizzariya,Restaurant,Uttar Pradesh,Varanasi,3.2
A S Food Corner,Restaurant,Uttar Pradesh,Meerut,3.1
A Silverr Oak,Restaurant,Maharashtra,Kolhapur,4
A Star Kitchen,Restaurant,Puducherry,Puducherry,4.3
A Taste Of Home,Restaurant,Uttarakhand,Haridwar,4.5
A TO Z Burger Biryani And Paratha,Restaurant,Rajasthan,Kota,3.5
A To Z Fast Food,Restaurant,Rajasthan,Udaipur,3.6
A To Z Food Corner,Restaurant,Madhya Pradesh,Jabalpur,3.5
A To Z Palamudir Nilayam,Restaurant,Tamil Nadu,Coimbatore,4.1
A TO Z Pizza,Restaurant,Rajasthan,Kota,3.8
A To Z Restaurant,Restaurant,Kerala,Palakkad,3.3
A To Z Rolls,Restaurant,Rajasthan,Kota,3.3
A Vinis Bakery,Restaurant,Madhya Pradesh,Indore,3.6
A. J. Cool Bar,Restaurant,Tamil Nadu,Tirunelveli,3.6
A.M Biriyani,Restaurant,Tamil Nadu,Trichy,4.1
A.P.S Chat,Restaurant,Tamil Nadu,Chennai,3.8
A.R Modern Rythu Chicken Bazar,Restaurant,Telangana,Warangal,4.1
A.R. Biryani Point,Restaurant,Andhra Pradesh,Guntur,4.4
A.R.C Sasi's Chat & More,Restaurant,Tamil Nadu,Coimbatore,3.6
A.S.I.N Kitchen,Restaurant,Goa,Goa,4.3
A1 Ambur Briyani & Kababs,Restaurant,Tamil Nadu,Chennai,3.8
A-1 Amlet,Restaurant,Gujarat,Rajkot,4.3
A1 Biryani,Restaurant,Tamil Nadu,Coimbatore,3.7
A1 Bombay Vada Pav,Restaurant,Gujarat,Surat,3.6
A1 Chicken Pakoda Point,Restaurant,Telangana,Hyderabad,4.3
A1 Chilli 65 Fast Food Center,Restaurant,Tamil Nadu,Coimbatore,4.2
A1 Chips,Restaurant,Tamil Nadu,Chennai,4.2
A1 Desserts,Restaurant,Telangana,Warangal,3.5
A1 Family Restaurant,Restaurant,Andhra Pradesh,Nellore,4
A1 Fast Food,Restaurant,Uttar Pradesh,Bareilly,3.7
A-1 Foods,Restaurant,Punjab,Amritsar,4
A1 Foods Cake Factory,Restaurant,Telangana,Warangal,4.3
A1 Haji Biryani,Restaurant,West Bengal,Siliguri,3.8
A1 Haji Fast Food Centre,Restaurant,West Bengal,Kolkata,3.9
A1 Hotels,Restaurant,Tamil Nadu,Trichy,3.8
A1 Misal House,Restaurant,Maharashtra,Jalgaon,3.9
A1 Momos,Restaurant,Tamil Nadu,Madurai,3.9
A1 Momo's,Restaurant,Tamil Nadu,Madurai,4
A1 Pakoda House,Restaurant,Telangana,Hyderabad,4.1
A1 Parotha,Restaurant,Gujarat,Ahmedabad,4.4
A1 Parotta Stall,Restaurant,Tamil Nadu,Tirunelveli,4
A1 Pulkha Point And Chinese,Restaurant,Andhra Pradesh,Vijayawada,2.9
A1 Quality Falooda,Restaurant,Andhra Pradesh,Vijayawada,3.6
A1 Samosa,Restaurant,Maharashtra,Mumbai,4.4
A-1 Super Dabeli And Panipuri Centre,Restaurant,Maharashtra,Jalgaon,4.1
A2 Fast Food,Restaurant,Telangana,Hyderabad,3.9
A2B - Adyar Ananda Bhavan,Restaurant,Andhra Pradesh,Nellore,4
A2B - Adyar Ananda Bhavan,Restaurant,Tamil Nadu,Trichy,4.1
A2B - Adyar Ananda Bhavan,Restaurant,Tamil Nadu,Chennai,4.2
A2B - Adyar Ananda Bhavan,Restaurant,Puducherry,Puducherry,4.2
A2B - Adyar Ananda Bhavan,Restaurant,Karnataka,Bangalore,4.2
A2B - Adyar Ananda Bhavan,Restaurant,Tamil Nadu,Coimbatore,4.3
A2B - Adyar Ananda Bhavan,Restaurant,Tamil Nadu,Madurai,4.3
A2B - Adyar Ananda Bhavan,Restaurant,Tamil Nadu,Chennai,4.3
A2B Aniram's Aahar Bhavan,Restaurant,Jharkhand,Jamshedpur,4
A3 Eggless Fresh Cakes,Restaurant,Uttar Pradesh,Kanpur,4.3
A9 Baker's & Cafe,Restaurant,Uttar Pradesh,Meerut,4
A9 Kitchen's,Restaurant,Chhattisgarh,Raipur,3.5
Aab O Dana Red Chillies,Restaurant,Uttar Pradesh,Bareilly,3.9
Aachi Chettinadu Hotel,Restaurant,Tamil Nadu,Madurai,3.9
Aachman,Restaurant,Uttar Pradesh,Lucknow,4.2
Aacho Bhau,Restaurant,Madhya Pradesh,Indore,3.1
Aadab Biryani,Restaurant,Goa,Goa,4
Aadat Chai Cafe,Restaurant,Delhi,NCR,4.1
Aadi Bangali,Restaurant,West Bengal,Kolkata,4.2
Aadis Eat & Greet,Restaurant,Punjab,Patiala,4
Aadi's Kitchen,Restaurant,Karnataka,Belgaum,3.6
Aagaaram,Restaurant,Tamil Nadu,Coimbatore,3.6
Aagaaram Cafe,Restaurant,Tamil Nadu,Coimbatore,4.1
Aah Haa Pizza,Restaurant,Jharkhand,Dhanbad,2.9
Aaha Family Restaurant,Restaurant,Andhra Pradesh,Vijayawada,2.9
Aahaar Fast Food Court & Restaurant,Restaurant,Uttar Pradesh,Varanasi,3.8
Àahaar Multi Cuisine Restaurant,Restaurant,Andhra Pradesh,Vijayawada,3
Aahar,Restaurant,Uttar Pradesh,Lucknow,3.9
Aahar,Restaurant,Rajasthan,Kota,4.1
Aahar,Restaurant,Uttar Pradesh,Agra,4.2
Aahar Bhojnalaya,Restaurant,Bihar,Patna,3.4
Aahar Punjabi Dhaba,Restaurant,Tamil Nadu,Vellore,3.5
Aahar Restaurant,Restaurant,West Bengal,Kolkata,4.1
Aahar Restaurant,Restaurant,Maharashtra,Nagpur,4.2
Aahar Restaurant (Unit of Lokenath Caterer),Restaurant,West Bengal,Durgapur,4
Aahar Snacks Parlour,Restaurant,Gujarat,Surat,3.6
Aahar The Rail Coach Restaurant,Restaurant,Maharashtra,Amravati,3.8
Aahar Veg Family Restaurant,Restaurant,Jharkhand,Jamshedpur,3.8
Aahar Vihar,Restaurant,Uttar Pradesh,Allahabad,4.2
Aahare Kolkata,Restaurant,Maharashtra,Mumbai,4.2
Aaheli - The Peerless Inn,Restaurant,West Bengal,Kolkata,4
Aaheli Express- The Peerless Inn,Restaurant,West Bengal,Durgapur,4.1
Aaheli Fresh Foods,Restaurant,West Bengal,Siliguri,4
Aai Chinese,Restaurant,Maharashtra,Jalgaon,3.8
Aai Chya Hatache,Restaurant,Maharashtra,Nashik,3.9
Aaicha Swayampak Maharashtrian Restaurant,Restaurant,Maharashtra,Nagpur,4
Aaichi Athvan Parcel Point,Restaurant,Maharashtra,Nashik,3.6
Aaichi Shidori 24*7,Restaurant,Maharashtra,Nagpur,4.1
Aaiye Jnaab Khaiye,Restaurant,Uttarakhand,Haridwar,3.8
Aakash Hotel,Restaurant,West Bengal,Siliguri,3.6
Aakash Sweets Namkeen & Fastfood,Restaurant,Gujarat,Rajkot,4
Aala Biryani,Restaurant,West Bengal,Kolkata,3.8
Aali Re Thali,Restaurant,Uttar Pradesh,Lucknow,4.2
Aalishan Pan and Parlour,Restaurant,Gujarat,Bhavnagar,4.1
Aalishan Restaurant,Restaurant,West Bengal,Kolkata,3.9
Aama Ko Kitchen,Restaurant,Delhi,NCR,3.6
